sampleName	 samplePath 	groups	covariates 	batchEffects
1_BS2C-girl-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
101_E114C-boy-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
102_E54C-girl-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
103_E98D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
3_E8C-girl-NC_Rep3.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
4_E103C-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
5_A15C-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
51_E24D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
52_E56D-boy-NC_Rep3.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
53_E123D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
54_A29D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
55_A33D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
56_E117D-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
6_A32C-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
1_BS2D-girl-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
101_E114D-girl-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
102_E54D-boy-NC_Rep5.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
103_E98C-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
3_E8D-girl-NC_Rep2.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
4_E103D-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
5_A15D-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
51_E24C-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
52_E56C-boy-NC_Rep4.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
53_E123C-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
54_A29C-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
55_A33C-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
56_E117C-boy-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	boy	A
6_A32D-girl-NC_Rep1.CpG.bismark.cov	Twins/4-separateXY/A-rmXY	1NC	girl	A
201_E12C-girl-NC_Rep1.CpG.bismark.cov	Singletons/4-separateXY/A-rmXY	1NC	girl	A
202_E13C-girl-NC_Rep1.CpG.bismark.cov	Singletons/4-separateXY/A-rmXY	1NC	girl	A
203_A92C-girl-NC_Rep1.CpG.bismark.cov	Singletons/4-separateXY/A-rmXY	1NC	girl	A
251_E16C-boy-NC_Rep1.CpG.bismark.cov	Singletons/4-separateXY/A-rmXY	1NC	boy	A
252_A87C-boy-NC_Rep1.CpG.bismark.cov	Singletons/4-separateXY/A-rmXY	1NC	boy	A
